INSERT INTO TheoryIndex VALUES(11,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11949999999999999511,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',0.98599999999999998756,3.0,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NNLO MSBAR (+1sig alpha_S)',0,1);
INSERT INTO TheoryIndex VALUES(12,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',0.9340000000000000524,3.0,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NLO MSBAR (-2sig mb)',0,1);
INSERT INTO TheoryIndex VALUES(13,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',0.9340000000000000524,3.0,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NNLO MSBAR (-2sig mb)',0,1);
INSERT INTO TheoryIndex VALUES(14,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',1.0380000000000000337,3.0,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NLO MSBAR (+2sig mb)',0,1);
INSERT INTO TheoryIndex VALUES(15,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',1.0380000000000000337,3.0,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NNLO MSBAR (+2sig mb)',0,1);
INSERT INTO TheoryIndex VALUES(16,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',0.98599999999999998756,3.0,1.0,4.1200000000000001065,4.1200000000000001065,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NLO MSBAR (-2sig mc)',0,1);
INSERT INTO TheoryIndex VALUES(17,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',0.98599999999999998756,3.0,1.0,4.1200000000000001065,4.1200000000000001065,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NNLO MSBAR (-2sig mc)',0,1);
INSERT INTO TheoryIndex VALUES(18,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',0.98599999999999998756,3.0,1.0,4.2400000000000002131,4.2400000000000002131,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NLO MSBAR (+2sig mc)',0,1);
INSERT INTO TheoryIndex VALUES(19,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',0.98599999999999998756,3.0,1.0,4.2400000000000002131,4.2400000000000002131,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NNLO MSBAR (+2sig mc)',0,1);
INSERT INTO TheoryIndex VALUES(20,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NLO - MSBar masses with Pole values',0,1);
INSERT INTO TheoryIndex VALUES(21,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NNLO - MSBar masses with Pole values',0,1);
INSERT INTO TheoryIndex VALUES(22,0,'ZM-VFNS',0,0,'EXA',1.0,1.0,5,5,5,1.2749999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'LO baseline for small-x res',0,1);
INSERT INTO TheoryIndex VALUES(23,0,'ZM-VFNS',0,0,'EXA',1.0,1.0,5,5,5,1.2749999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,1,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'LO+LL for small-x res',0,1);
INSERT INTO TheoryIndex VALUES(24,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.2749999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO baseline for small-x res',0,1);
INSERT INTO TheoryIndex VALUES(25,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.2749999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,1,'NLL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO+NLL for small-x res',0,1);
INSERT INTO TheoryIndex VALUES(26,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.6000000000000000888,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.6000000000000000888,1.6000000000000000888,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO baseline for small-x, mc=1.6',0,1);
INSERT INTO TheoryIndex VALUES(27,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.4139999999999999236,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,1,'NLL','POLE',1.4139999999999999236,1.4139999999999999236,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO+NLL for small-x, mc=1.414',0,1);
INSERT INTO TheoryIndex VALUES(28,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.6000000000000000888,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,1,'NLL','POLE',1.6000000000000000888,1.6000000000000000888,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO+NLL for small-x, mc = 1.6',0,1);
INSERT INTO TheoryIndex VALUES(29,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.6000000000000000888,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,1,'NLL','POLE',1.6000000000000000888,1.6000000000000000888,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO+NLL for small-x, mc = 1.6',0,1);
INSERT INTO TheoryIndex VALUES(30,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.6000000000000000888,1.6000000000000000888,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO baseline for small-x, Q0=1, mc = 1.6',0,1);
INSERT INTO TheoryIndex VALUES(31,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.4299999999999999378,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.4299999999999999378,1.4299999999999999378,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO+NLL for small-x, Q0=mc=1.43',0,1);
INSERT INTO TheoryIndex VALUES(32,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.5,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Intrinsic Charm NLO - Pole masses',0,1);
INSERT INTO TheoryIndex VALUES(33,2,'FONLL-C',1,1,'TRN',1.0,1.0,5,5,5,1.5,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Intrinsic Charm NNLO - Pole masses',0,1);
INSERT INTO TheoryIndex VALUES(34,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.276000000000000023,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO IC Q0=mc+eps',0,1);
INSERT INTO TheoryIndex VALUES(35,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.2740000000000000213,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO IC Q0=mc-eps (bline for 34)',0,1);
INSERT INTO TheoryIndex VALUES(36,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.240299999999999958,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',0.98599999999999998756,3.0,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO IC MSbar Q0=mc(mc)+eps',0,1);
INSERT INTO TheoryIndex VALUES(37,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.2400999999999999801,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',0.98599999999999998756,3.0,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO IC MSbar Q0=mc(mc)-eps (bline for 36)',0,1);
INSERT INTO TheoryIndex VALUES(38,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.1100000000000000976,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Final IC NLO - MSbar Central mc baseline',0,1);
INSERT INTO TheoryIndex VALUES(39,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.1100000000000000976,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',1.1499999999999999111,1.1499999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Final IC NLO - MSbar Lower mc baseline',0,1);
INSERT INTO TheoryIndex VALUES(40,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.1100000000000000976,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',1.3999999999999999111,1.3999999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Final IC NLO - MSbar Upper mc baseline',0,1);
