#: table_doi: 10.17182/hepdata.46965.v1/t1
#: name: Table 1
#: description: The charm contribution to the nucleon structure function from the dimuon data.

#: data_file: Table1.yaml
#: keyword reactions: MU+ NUCLEON --> MU+ CHARM CHARMBAR X | MU+ NUCLEON --> MU+ CQ CQBAR X | MU+ NUCLEON --> MU+ MU- X | MU+ NUCLEON --> MU+ MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Di-Muon Production | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 21.677
#: PLAB [GeV],,,250.0
#: RE,,,MU+ NUCLEON --> MU+ CQ CQBAR X
#: SQRT(S) [GeV],,,21.677
#: X,,,0.0032 TO 0.0056
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,F2(NAME=CHARM),error +,error -
7.8100000000000005,5.62,10.0,0.0029,0.00142,-0.00142
13.9,10.0,17.8,0.0115,0.0013,-0.0013
24.700000000000003,17.8,31.6,0.0181,0.0017,-0.0017
43.900000000000006,31.6,56.2,-,0,0
78.1,56.2,100.0,-,0,0

#: PLAB [GeV],,,250.0
#: RE,,,MU+ NUCLEON --> MU+ CQ CQBAR X
#: SQRT(S) [GeV],,,21.677
#: X,,,0.100 TO 0.178
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,F2(NAME=CHARM),error +,error -
1.3900000000000001,1.0,1.78,-,0,0
2.47,1.78,3.16,-,0,0
4.390000000000001,3.16,5.62,-,0,0
7.8100000000000005,5.62,10.0,-,0,0
13.9,10.0,17.8,0.00377,0.00172,-0.00172
24.700000000000003,17.8,31.6,0.00664,0.00138,-0.00138
43.900000000000006,31.6,56.2,0.0106,0.0017,-0.0017
78.1,56.2,100.0,-,0,0

#: PLAB [GeV],,,250.0
#: RE,,,MU+ NUCLEON --> MU+ CQ CQBAR X
#: SQRT(S) [GeV],,,21.677
#: X,,,0.178 TO 0.316
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,F2(NAME=CHARM),error +,error -
1.3900000000000001,1.0,1.78,-,0,0
2.47,1.78,3.16,-,0,0
4.390000000000001,3.16,5.62,-,0,0
7.8100000000000005,5.62,10.0,-,0,0
13.9,10.0,17.8,-,0,0
24.700000000000003,17.8,31.6,0.00262,0.00184,-0.00184
43.900000000000006,31.6,56.2,0.00271,0.00102,-0.00102
78.1,56.2,100.0,0.00708,0.00187,-0.00187

#: PLAB [GeV],,,250.0
#: RE,,,MU+ NUCLEON --> MU+ CQ CQBAR X
#: SQRT(S) [GeV],,,21.677
#: X,,,0.316 TO 0.562
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,F2(NAME=CHARM),error +,error -
1.3900000000000001,1.0,1.78,-,0,0
2.47,1.78,3.16,-,0,0
4.390000000000001,3.16,5.62,-,0,0
7.8100000000000005,5.62,10.0,-,0,0
13.9,10.0,17.8,-,0,0
24.700000000000003,17.8,31.6,-,0,0
43.900000000000006,31.6,56.2,-,0,0
78.1,56.2,100.0,0.00274,0.00152,-0.00152

